document_id,file_name,ticker,company_name,sector,fiscal_quarter,fiscal_year,document_type,source_type,source,publish_date,language,confidentiality,relative_path
APXR_Q2_2026_internal_research_note_1,APXR_Q2_2026_internal_research_note_1.docx,APXR,Apex Retail Group,Consumer Retail,Q2,2026,analyst_note,internal,blue_harbor,2026-08-10,en,internal,data/documents/APXR/Q2_2026/APXR_Q2_2026_internal_research_note_1.docx
APXR_Q2_2026_internal_research_note_2,APXR_Q2_2026_internal_research_note_2.docx,APXR,Apex Retail Group,Consumer Retail,Q2,2026,analyst_note,internal,blue_harbor,2026-08-10,en,internal,data/documents/APXR/Q2_2026/APXR_Q2_2026_internal_research_note_2.docx
APXR_Q2_2026_external_news_1,APXR_Q2_2026_external_news_1.html,APXR,Apex Retail Group,Consumer Retail,Q2,2026,external_news,secondary,marketwire,2026-08-10,en,public_synthetic,data/documents/APXR/Q2_2026/APXR_Q2_2026_external_news_1.html
APXR_Q2_2026_external_news_2,APXR_Q2_2026_external_news_2.txt,APXR,Apex Retail Group,Consumer Retail,Q2,2026,external_market_commentary,secondary,marketwire,2026-08-10,en,public_synthetic,data/documents/APXR/Q2_2026/APXR_Q2_2026_external_news_2.txt
MDHN_Q2_2026_earnings_report,MDHN_Q2_2026_earnings_report.pdf,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,earnings_report,primary,company,2026-07-30,en,public_synthetic,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_earnings_report.pdf
MDHN_Q2_2026_earnings_call_transcript,MDHN_Q2_2026_earnings_call_transcript.pdf,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,earnings_call,primary,company,2026-07-30,en,public_synthetic,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_earnings_call_transcript.pdf
MDHN_Q2_2026_investor_update,MDHN_Q2_2026_investor_update.pdf,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,investor_presentation,primary,company,2026-07-30,en,public_synthetic,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_investor_update.pdf
MDHN_Q2_2026_quarterly_filing,MDHN_Q2_2026_quarterly_filing.pdf,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,quarterly_filing,primary,company,2026-07-30,en,public_synthetic,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_quarterly_filing.pdf
MDHN_Q1_2026_outlook_reference,MDHN_Q1_2026_outlook_reference.pdf,MDHN,Meridian Health Systems,Healthcare Services,Q1,2026,prior_quarter_outlook,primary,company,2026-04-28,en,public_synthetic,data/documents/MDHN/Q2_2026/MDHN_Q1_2026_outlook_reference.pdf
MDHN_Q2_2026_internal_research_note_1,MDHN_Q2_2026_internal_research_note_1.docx,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,analyst_note,internal,blue_harbor,2026-07-30,en,internal,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_internal_research_note_1.docx
MDHN_Q2_2026_internal_research_note_2,MDHN_Q2_2026_internal_research_note_2.docx,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,analyst_note,internal,blue_harbor,2026-07-30,en,internal,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_internal_research_note_2.docx
MDHN_Q2_2026_external_news_1,MDHN_Q2_2026_external_news_1.html,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,external_news,secondary,marketwire,2026-07-30,en,public_synthetic,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_external_news_1.html
MDHN_Q2_2026_external_news_2,MDHN_Q2_2026_external_news_2.txt,MDHN,Meridian Health Systems,Healthcare Services,Q2,2026,external_market_commentary,secondary,marketwire,2026-07-30,en,public_synthetic,data/documents/MDHN/Q2_2026/MDHN_Q2_2026_external_news_2.txt
VTXI_Q2_2026_earnings_report,VTXI_Q2_2026_earnings_report.pdf,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,earnings_report,primary,company,2026-08-06,en,public_synthetic,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_earnings_report.pdf
VTXI_Q2_2026_earnings_call_transcript,VTXI_Q2_2026_earnings_call_transcript.pdf,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,earnings_call,primary,company,2026-08-06,en,public_synthetic,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_earnings_call_transcript.pdf
VTXI_Q2_2026_investor_update,VTXI_Q2_2026_investor_update.pdf,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,investor_presentation,primary,company,2026-08-06,en,public_synthetic,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_investor_update.pdf
VTXI_Q2_2026_quarterly_filing,VTXI_Q2_2026_quarterly_filing.pdf,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,quarterly_filing,primary,company,2026-08-06,en,public_synthetic,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_quarterly_filing.pdf
VTXI_Q1_2026_outlook_reference,VTXI_Q1_2026_outlook_reference.pdf,VTXI,Vertex Industrial Technologies,Industrials,Q1,2026,prior_quarter_outlook,primary,company,2026-04-28,en,public_synthetic,data/documents/VTXI/Q2_2026/VTXI_Q1_2026_outlook_reference.pdf
VTXI_Q2_2026_internal_research_note_1,VTXI_Q2_2026_internal_research_note_1.docx,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,analyst_note,internal,blue_harbor,2026-08-06,en,internal,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_internal_research_note_1.docx
VTXI_Q2_2026_internal_research_note_2,VTXI_Q2_2026_internal_research_note_2.docx,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,analyst_note,internal,blue_harbor,2026-08-06,en,internal,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_internal_research_note_2.docx
VTXI_Q2_2026_external_news_1,VTXI_Q2_2026_external_news_1.html,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,external_news,secondary,marketwire,2026-08-06,en,public_synthetic,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_external_news_1.html
VTXI_Q2_2026_external_news_2,VTXI_Q2_2026_external_news_2.txt,VTXI,Vertex Industrial Technologies,Industrials,Q2,2026,external_market_commentary,secondary,marketwire,2026-08-06,en,public_synthetic,data/documents/VTXI/Q2_2026/VTXI_Q2_2026_external_news_2.txt
